"state","electric_vehicle_type","total_vehicles","promedio_electric_range","model_year"
CA,Battery Electric Vehicle (BEV),17,0.0,2021
CA,Plug-in Hybrid Electric Vehicle (PHEV),8,29.75,2021
CO,Battery Electric Vehicle (BEV),1,0.0,2021
CO,Plug-in Hybrid Electric Vehicle (PHEV),1,18.0,2021
CT,Battery Electric Vehicle (BEV),1,0.0,2021
FL,Battery Electric Vehicle (BEV),3,0.0,2021
FL,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2021
GA,Battery Electric Vehicle (BEV),2,0.0,2021
GA,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2021
HI,Battery Electric Vehicle (BEV),1,0.0,2021
ID,Battery Electric Vehicle (BEV),1,0.0,2021
IL,Battery Electric Vehicle (BEV),4,0.0,2021
IL,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2021
IN,Battery Electric Vehicle (BEV),1,0.0,2021
KY,Battery Electric Vehicle (BEV),1,0.0,2021
MD,Battery Electric Vehicle (BEV),3,0.0,2021
MD,Plug-in Hybrid Electric Vehicle (PHEV),2,32.0,2021
MO,Plug-in Hybrid Electric Vehicle (PHEV),1,18.0,2021
MS,Battery Electric Vehicle (BEV),1,0.0,2021
NC,Battery Electric Vehicle (BEV),2,0.0,2021
NY,Battery Electric Vehicle (BEV),1,0.0,2021
NY,Plug-in Hybrid Electric Vehicle (PHEV),2,21.5,2021
OR,Plug-in Hybrid Electric Vehicle (PHEV),1,30.0,2021
TN,Plug-in Hybrid Electric Vehicle (PHEV),1,25.0,2021
TX,Battery Electric Vehicle (BEV),2,0.0,2021
VA,Battery Electric Vehicle (BEV),6,0.0,2021
VA,Plug-in Hybrid Electric Vehicle (PHEV),2,37.0,2021
WA,Battery Electric Vehicle (BEV),16230,8.52365988909427,2021
WA,Plug-in Hybrid Electric Vehicle (PHEV),4334,27.958237194277803,2021
AL,Plug-in Hybrid Electric Vehicle (PHEV),1,25.0,2022
AR,Battery Electric Vehicle (BEV),1,0.0,2022
AZ,Battery Electric Vehicle (BEV),2,0.0,2022
AZ,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2022
BC,Battery Electric Vehicle (BEV),1,0.0,2022
BC,Plug-in Hybrid Electric Vehicle (PHEV),1,22.0,2022
CA,Battery Electric Vehicle (BEV),15,0.0,2022
CA,Plug-in Hybrid Electric Vehicle (PHEV),7,26.285714285714285,2022
CO,Battery Electric Vehicle (BEV),4,0.0,2022
CO,Plug-in Hybrid Electric Vehicle (PHEV),2,20.0,2022
CT,Battery Electric Vehicle (BEV),1,0.0,2022
DC,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2022
FL,Battery Electric Vehicle (BEV),6,0.0,2022
FL,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2022
GA,Battery Electric Vehicle (BEV),1,0.0,2022
GA,Plug-in Hybrid Electric Vehicle (PHEV),2,33.5,2022
HI,Battery Electric Vehicle (BEV),1,0.0,2022
ID,Battery Electric Vehicle (BEV),1,0.0,2022
IL,Battery Electric Vehicle (BEV),3,0.0,2022
IL,Plug-in Hybrid Electric Vehicle (PHEV),1,25.0,2022
KY,Battery Electric Vehicle (BEV),1,0.0,2022
MD,Battery Electric Vehicle (BEV),3,0.0,2022
MD,Plug-in Hybrid Electric Vehicle (PHEV),1,18.0,2022
MI,Battery Electric Vehicle (BEV),1,0.0,2022
MI,Plug-in Hybrid Electric Vehicle (PHEV),1,25.0,2022
MO,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2022
MS,Battery Electric Vehicle (BEV),1,0.0,2022
NH,Battery Electric Vehicle (BEV),1,0.0,2022
NJ,Battery Electric Vehicle (BEV),4,0.0,2022
NV,Battery Electric Vehicle (BEV),2,0.0,2022
NV,Plug-in Hybrid Electric Vehicle (PHEV),1,35.0,2022
NY,Battery Electric Vehicle (BEV),1,0.0,2022
NY,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2022
OH,Battery Electric Vehicle (BEV),2,0.0,2022
OR,Battery Electric Vehicle (BEV),6,0.0,2022
OR,Plug-in Hybrid Electric Vehicle (PHEV),3,35.0,2022
PA,Plug-in Hybrid Electric Vehicle (PHEV),1,35.0,2022
QC,Battery Electric Vehicle (BEV),1,0.0,2022
RI,Battery Electric Vehicle (BEV),1,0.0,2022
TN,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2022
TX,Battery Electric Vehicle (BEV),7,0.0,2022
TX,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2022
VA,Battery Electric Vehicle (BEV),10,0.0,2022
VA,Plug-in Hybrid Electric Vehicle (PHEV),3,33.0,2022
WA,Battery Electric Vehicle (BEV),24771,0.0,2022
WA,Plug-in Hybrid Electric Vehicle (PHEV),4849,28.916065168075892,2022
WI,Battery Electric Vehicle (BEV),1,0.0,2022
AL,Battery Electric Vehicle (BEV),1,0.0,2023
AL,Plug-in Hybrid Electric Vehicle (PHEV),2,37.0,2023
AP,Battery Electric Vehicle (BEV),1,0.0,2023
AZ,Battery Electric Vehicle (BEV),5,0.0,2023
BC,Battery Electric Vehicle (BEV),1,0.0,2023
CA,Battery Electric Vehicle (BEV),34,0.0,2023
CA,Plug-in Hybrid Electric Vehicle (PHEV),7,29.857142857142858,2023
CO,Battery Electric Vehicle (BEV),6,0.0,2023
CO,Plug-in Hybrid Electric Vehicle (PHEV),2,30.0,2023
DC,Battery Electric Vehicle (BEV),2,0.0,2023
FL,Battery Electric Vehicle (BEV),9,0.0,2023
FL,Plug-in Hybrid Electric Vehicle (PHEV),3,22.333333333333332,2023
GA,Battery Electric Vehicle (BEV),5,0.0,2023
ID,Battery Electric Vehicle (BEV),2,0.0,2023
IL,Battery Electric Vehicle (BEV),3,0.0,2023
MA,Battery Electric Vehicle (BEV),3,0.0,2023
MD,Battery Electric Vehicle (BEV),8,0.0,2023
MD,Plug-in Hybrid Electric Vehicle (PHEV),2,28.5,2023
MO,Battery Electric Vehicle (BEV),2,0.0,2023
NC,Battery Electric Vehicle (BEV),6,0.0,2023
NE,Battery Electric Vehicle (BEV),1,0.0,2023
NE,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2023
NJ,Battery Electric Vehicle (BEV),1,0.0,2023
NM,Plug-in Hybrid Electric Vehicle (PHEV),2,27.5,2023
NV,Battery Electric Vehicle (BEV),4,0.0,2023
NV,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2023
NY,Battery Electric Vehicle (BEV),2,0.0,2023
NY,Plug-in Hybrid Electric Vehicle (PHEV),2,37.0,2023
OH,Battery Electric Vehicle (BEV),2,0.0,2023
OK,Battery Electric Vehicle (BEV),2,0.0,2023
OR,Battery Electric Vehicle (BEV),3,0.0,2023
PA,Battery Electric Vehicle (BEV),2,0.0,2023
SC,Battery Electric Vehicle (BEV),1,0.0,2023
SC,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2023
TN,Battery Electric Vehicle (BEV),1,0.0,2023
TN,Plug-in Hybrid Electric Vehicle (PHEV),1,23.0,2023
TX,Battery Electric Vehicle (BEV),7,0.0,2023
TX,Plug-in Hybrid Electric Vehicle (PHEV),3,24.666666666666668,2023
UT,Battery Electric Vehicle (BEV),1,0.0,2023
UT,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2023
VA,Battery Electric Vehicle (BEV),18,0.0,2023
VA,Plug-in Hybrid Electric Vehicle (PHEV),2,32.5,2023
WA,Battery Electric Vehicle (BEV),51225,0.0,2023
WA,Plug-in Hybrid Electric Vehicle (PHEV),7489,30.505407931633062,2023
WY,Battery Electric Vehicle (BEV),1,0.0,2023
WY,Plug-in Hybrid Electric Vehicle (PHEV),1,42.0,2023
AB,Battery Electric Vehicle (BEV),1,0.0,2024
AL,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2024
AZ,Battery Electric Vehicle (BEV),3,0.0,2024
CA,Battery Electric Vehicle (BEV),18,0.0,2024
CA,Plug-in Hybrid Electric Vehicle (PHEV),3,37.666666666666664,2024
CO,Battery Electric Vehicle (BEV),3,0.0,2024
CT,Battery Electric Vehicle (BEV),1,0.0,2024
FL,Battery Electric Vehicle (BEV),6,0.0,2024
FL,Plug-in Hybrid Electric Vehicle (PHEV),1,21.0,2024
GU,Plug-in Hybrid Electric Vehicle (PHEV),1,26.0,2024
IL,Battery Electric Vehicle (BEV),2,0.0,2024
IL,Plug-in Hybrid Electric Vehicle (PHEV),3,27.666666666666668,2024
IN,Battery Electric Vehicle (BEV),1,0.0,2024
KS,Battery Electric Vehicle (BEV),1,0.0,2024
KS,Plug-in Hybrid Electric Vehicle (PHEV),1,32.0,2024
KY,Plug-in Hybrid Electric Vehicle (PHEV),1,26.0,2024
LA,Battery Electric Vehicle (BEV),4,0.0,2024
MA,Battery Electric Vehicle (BEV),1,0.0,2024
MD,Battery Electric Vehicle (BEV),9,0.0,2024
MD,Plug-in Hybrid Electric Vehicle (PHEV),4,30.5,2024
MI,Battery Electric Vehicle (BEV),1,0.0,2024
MO,Battery Electric Vehicle (BEV),3,0.0,2024
NC,Battery Electric Vehicle (BEV),1,0.0,2024
NE,Battery Electric Vehicle (BEV),1,0.0,2024
NH,Battery Electric Vehicle (BEV),1,0.0,2024
NJ,Battery Electric Vehicle (BEV),1,0.0,2024
